Nome_Montadora;Nome_Modelo;Ano_Inicio;Ano_Fim;Classificacao_Modelo;Filtro_Cambio;Codigo_Cambio
Audi;A1;2010;2025;1.4 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A1;2010;2025;Sportback 1.4;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A1;2010;2025;Sportback 1.8;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;1.6 E 1.8;WFC-538 / WFC-938;01M / AG4
Audi;A3;2;2025;1.8;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Audi;A3;2;2025;2.5 TFSI;WFC-238 / WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;Cabriolet 1.8;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;Sportback;WFC-238;DSG / S-Tronic
Audi;A3;2;2025;Sportback 1.4 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A3;2;2025;Sportback 2.5 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A4;1990;2025;1.8 E 2.0 E 2.4;WFC-538 / WFC-938;01M / AG4
Audi;A4;1990;2025;1.8 E 2.0 E 3.0 E 3.2;WFC-997 / WFC-998;JF015 / CVT7
Audi;A4;1990;2025;1.8 E 2.8 E 3.0;WFC-503 / WFC-903;ZF 5HP19
Audi;A4;2007;2015;1.8 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A4;1990;2025;2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Audi;A4;2008;2015;2.0 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A4;2007;2012;3.2 FSI;WFC-214;DAW / VL380 / VL381
Audi;A4;1990;2025;Padrão;WFC-948;A518 / ZF6HP26
Audi;A5;2014;2017;1.8 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A5;2014;2017;1.8 TFSI;WFC-210;VL380 / VL381
Audi;A5;2008;2013;2.0 TFSI;WFC-214;DAW / VL380 / VL381
Audi;A5;2008;2013;2.0 TFSI;WFC-210;VL380 / VL381
Audi;A5;2013;2025;2.0 TFSI ->;WFC-214;DAW / VL380 / VL381
Audi;A5;2013;2025;2.0 TFSI ->;WFC-210;VL380 / VL381
Audi;A5;2007;2025;3.0 TFSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Audi;A5;2007;2025;3.0 TFSI;WFC-997 / WFC-998;JF015 / CVT7
Audi;A5;2007;2012;3.2 FSI;WFC-214;DAW / VL380 / VL381
Audi;A5;2007;2012;3.2 FSI;WFC-210;VL380 / VL381
Audi;A6;2015;2025;2.0 TFSI S-tronic;WFC-207;ZF 8HP
Audi;A6;1998;2005;2.5 E 2.8 E 4.2;WFC-945;5HP24 / ZF5HP24
Audi;A6;1;2025;2.8 E 3.0;WFC-503 / WFC-903;ZF 5HP19
Audi;A6;1;2025;3.0;WFC-997 / WFC-998;JF015 / CVT7
Audi;A6;1;2025;Padrão;WFC-948;A518 / ZF6HP26
Audi;A7;2012;2025;3.0;WFC-997 / WFC-998;JF015 / CVT7
