Nome_Montadora;Nome_Modelo;Classificacao_Modelo;Ano_Inicio;Ano_Fim;Filtro_Ar;Filtro_Oleo;Filtro_Combustivel;Filtro_Cabine
Alfa Romeo;145;(Elegant / Quadrifoglio) ‐ gasolina ‐ mecânico;1996 ;;FAP5303;WO170;FCI1107A;AKX35141
Alfa Romeo;145;(Elegant) ‐ gasolina ‐ mecânico;95 ; 98;FAP5303;WO170;FCI1110S;AKX35141
Alfa Romeo;145;(Elegant) ‐ gasolina ‐ mecânico;96 ; 99;FAP3212;;FCI1110S;AKX35141
Alfa Romeo;147;(Twin Spark) ‐ gasolina ‐ Semi automático / automático;03 ; 05;FAP4206;WO170;;
Alfa Romeo;155;(Twin Spark / Elegant / Super) ‐ gasolina ‐ mecânico;95 ; 97;FAP5303;WO170;FCI1107A;AKX35141
Alfa Romeo;156;(Twin Spark / Elegant / Super / Sportwagon) ‐ mecânico;01 ; 02;WR348/1;WO170;;AKX35125
Alfa Romeo;156;(Twin Spark / Elegant / Super) ‐ mecânico;99 ; 00;WR348/1;;;AKX35125
Alfa Romeo;164;‐‐;95 ; 96;FAP2005;WO390;FCI1107A;AKX3597
Alfa Romeo;164;gasolina ‐ automático / mecânico;92 ; 95;FAP2005;WO390;FCI1105A;AKX3597
Alfa Romeo;166;gasolina ‐ automático;99 ; 03;WR348/1;WO170;;AKX35611
Alfa Romeo;Spider;‐‐;91 ; 94;FAP2002;WO460;FCI1105A;AKX35141
Alfa Romeo;Spider;‐‐;91 ; 97;WR348/1;WO390;FCI1107A;AKX35141
Asia;Hi Topic;(Van / Furgão / SLX / SDX / DLX / STD / Full) ‐ diesel ‐ mecânico;94 ; 97;JFA0K01;JFO0984;JFC509;
Asia;Hi Topic;(Van / Furgão / SLX / SDX / DLX / STD / Full) ‐ diesel ‐ mecânico;98 ; 99;JFA0983/1;JFO0K01/1;JFC509;
Asia;Hi Topic;(Van / Furgão) ‐ diesel ‐ mecânico; 1993;;JFA0984/1;JFO0984;JFC509;
Asia;Jeep Rocsta;(GT 4x4) ‐ diesel ‐ mecânico;94 ; 95;JFA0983;WO360;JFC509;
Asia;Topic;(Luxo/ Super Luxo / Carga) ‐ diesel ‐ mecânico;97 ; 99;JFA0K01;JFO0K01/1;JFC303;
Asia;Towner;(Furgão/ Van/ SDX / DLX / Std / Truck /Pick Up/ Super Luxo) ‐ mecânico;93 ; 99;JFA0986;JFO0313;FCC2160;
Audi;80;‐‐;92 ; 96;FAP4816;WO460;FCI1107A;AKX3543
Audi;80;(Avant até N° de Chassis 8CS025820) ‐ gasolina ‐ automático / mecânico;92 ; 96;FAP4816;WO181;FCI1107A;AKX3543
Audi;80;(Avant) ‐ gasolina ‐ automático / mecânico;91 ; 96;FAP4816;WO370;FCI1104L;AKX3543
Audi;80;(Cabriolet) ‐ gasolina ‐ automático;94 ; 99;FAP4816;WO344;FCI1104C;AKX3543
Audi;80;Turbo ‐ (Avant) ‐ gasolina ‐ mecânico;94 ; 95;FAP4816;WO181;;AKX3543
Audi;100;(Avant) ‐ gasolina ‐ automático;93 ; 95;FAP4816;WO181;FCI1104C;
Audi;100;diesel ‐ mecânico;91 ; 94;FAP6001;;;
Audi;100;TDI Turbo ‐ diesel ‐ mecânico;91 ; 94;FAP6001;;;
Audi;100 S4;Turbo ‐ (Avant) ‐ gasolina ‐ mecânico;94 ; 95;FAP4816;WO181;FCI1104C;AKX3543
Audi;A1;TFSI ‐ (Sportback) ‐ gasolina ‐ automático;2018 ;;FAP4825;WOE624;FCI1304;AKX1116
Audi;A1;TFSI S ‐ Tronic ‐ (Attraction / Sport / Sportback / Ambition) ‐ gasolina ‐ automático;2010 ;;WR212;WO342;FCI1304;AKX1116
Audi;A3;(Cabriolet) ‐ gasolina ‐ automático;04 ; 07;FAP3287;WO340;FCI1300;AKX35132
Audi;A3;(Cabriolet) ‐ gasolina ‐ automático;94 ; 04;FAP4045;WO181;FCI1288;AKX35132
Audi;A3;gasolina ‐ automático / mecânico;96 ; 06;FAP4045;WO181;FCI1288;AKX35132
Audi;A3;TFSI ‐ (Sedã Attraction / Sportback) ‐ gasolina ‐ automático;2014 ;;FAP3285;WO346;;AKX35281
Audi;A3;TFSI ‐ (Sport / Sportback) ‐ gasolina ‐ automático / mecânico;06 ; 13;FAP6012;WO592;FCI1304;AKX1100
Audi;A3;TFSI ‐ (Sport / Sportback) ‐ gasolina ‐ automático / mecânico;06 ; 13;FAP9025;WOE640;FCI1304;AKX1100
Audi;A3;TFSI flex ‐ (Attraction / Ambition) ‐ automático;2016 ;;FAP3285;WO346;;AKX35281
Audi;A3;TFSI S ‐ Tronic ‐ (Ambition) ‐ gasolina ‐ automático;2018 ;;FAP9065;WOE624;;AKX35281
Audi;A3;TFSI S ‐ Tronic ‐ (Cabriolet / Sport / Sportback) ‐ gasolina ‐ automático / mecânico;2013 ;;FAP9065;WOE624;;AKX35281
Audi;A3;Turbo ‐ gasolina ‐ automático / mecânico / tiptronic;02 ; 06;FAP4045;WO181;FCI1288;AKX35634
Audi;A4;(Avant / Cabriolet / Limousine / Sedã / Quattro) ‐ gasolina ‐ tiptronic / multitronic;01 ; 08;FAP6007;WO460;FCI1288;AKX1100
Audi;A4;(Avant / Quattro) ‐ gasolina ‐ automático / mecânico / tiptronic / multitronic;96 ; 01;FAP4813;WO290;FCI1105A;AKX3543
Audi;A4;(Avant / Quattro) ‐ gasolina ‐ tiptronic / multitronic;01 ; 05;FAP4813;WO344;FCI1288;AKX1110
Audi;A4;(Avant / Quattro) ‐ gasolina ‐ tiptronic / multitronic;01 ; 08;FAP6007;WO344;FCI1288;AKX1110
Audi;A4;(Avant) ‐ gasolina ‐ automático / mecânico / tiptronic / multitronic;95 ; 96;FAP4813;WO350;FCI1105A;AKX3543
Audi;A4;(Avant) ‐ gasolina ‐ mecânico;95 ; 01;FAP4813;WO181;FCI1105A;AKX3543
Audi;A4;(Avant) ‐ gasolina ‐ tiptronic / multitronic;98 ; 01;FAP4813;WO460;FCI1105A;AKX3543
Audi;A4;FSI ‐ (Avant / Cabriolet / Limousine / Sedã / Quattro) ‐ gasolina ‐ tiptronic / multitronic;08 ; 12;WR218;WOE612;FCI1400;AKX1113
Audi;A4;FSI ‐ (Avant / Sport / Limousine) ‐ gasolina ‐ automático / multitronic;02 ; 05;FAP6007;WO181;;AKX1110
Audi;A4;FSI ‐ (Avant) ‐ gasolina ‐ tiptronic / multitronic;05 ; 08;FAP6007;WOE612;FCI1290;AKX1100
Audi;A4;gasolina ‐ automático / multitronic;00 ; 03;FAP6007;WO181;FCI1288;AKX1110
Audi;A4;TFSI ‐ (Ambiente / Ambition / Attraction) ‐ gasolina ‐ multitronic;04 ; 08;FAP6007;WOE640;FCI1290;AKX1110
Audi;A4;TFSI ‐ (Ambition) ‐ gasolina ‐ multitronic;2013 ;;FAP9053;WOE624;;AKX1113
Audi;A4;TFSI ‐ (Avant / Exclusive Avant / Exclusive Variant / Sport) ‐ gasolina ‐ automático / mecânico /;2014 ;;FAP9053;WOE624;;AKX1113
Audi;A4;TFSI ‐ (Avant / Quattro) ‐ gasolina ‐ tiptronic / multitronic;2009 ;;WR218;WOE612;;AKX1113
Audi;A4;TFSI S ‐ Tronic ‐ (Ambiente / Ambition / Attraction) ‐ gasolina ‐ multitronic;08 ; 12;FAP9053;WO592;FCI1400;AKX1113
Audi;A4;TFSI S ‐ Tronic ‐ (Ambiente / Launch Edition / Attraction) ‐ gasolina ‐ multitronic;2016 ;;WR374;WOE624;;AKX1118F
Audi;A4;Turbo ‐ (Avant / Exclusive Avant / Exclusive Variant / Sport) ‐ gasolina ‐ automático / mecânico;00 ; 07;FAP6007;WO343;FCI1289;AKX1110
Audi;A4;Turbo ‐ (Avant) ‐ gasolina ‐ automático / mecânico / tiptronic;95 ; 01;FAP4813;WO181;FCI1105A;AKX3543
Audi;A5;FSI ‐ (Coupé / Quattro) ‐ gasolina ‐ multitronic;2007 ;;WR218;WOE612;FCI1400;AKX1113
Audi;A5;TFSI ‐ (Sportback / Prestige / SLine) ‐ gasolina ‐ automático;2016 ;;WR374;WOE624;FCI1400;AKX1118F
Audi;A5;TFSI ‐ (Sportback) ‐ gasolina ‐ automático / multitronic;2015 ;;FAP9053;WOE624;;AKX1113
Audi;A5;TFSI S ‐ Tronic ‐ (Ambiente / Sportback) ‐ gasolina ‐ multitronic;2008 ;;FAP9053;WO592;FCI1400;AKX1113
Audi;A5;TFSI S ‐ Tronic ‐ (Coupé Ambition / Quattro / Sportback) ‐ gasolina ‐ multitronic;2013 ;;FAP9053;WOE624;;AKX1113
Audi;A6;(Avant / All Road / Limousine) ‐ gasolina ‐ mecânico / multitronic;01 ; 07;FAP4813;WO460;FCI1105A;AKX1100
Audi;A6;(Avant / All Road / Limousine) ‐ gasolina ‐ mecânico / multitronic;05 ; 06;WR371;WO344;FCI1289;AKX1111
Audi;A6;(Avant / Plus / Quattro) ‐ gasolina ‐ tiptronic;94 ; 96;FAP4854;WO345;FCI1104C;AKX35635
Audi;A6;(Avant / Plus / Quattro) ‐ gasolina ‐ tiptronic;99 ; 04;FAP4813;WO345;FCI1107A;AKX1100
Audi;A6;(Avant / Plus / Quattro) ‐ tiptronic;96 ; 97;FAP4813;WO345;FCI1104C;AKX35635
Audi;A6;(Avant / Quattro / All Road a partir de N° de Chassis 4BX045000) ‐ gasolina ‐ tiptronic / Mult;98 ; 01;FAP4813;WO460;FCI1105A;AKX1100
Audi;A6;(Avant / Quattro / All Road até N° de Chassis 4BX045000) ‐ gasolina ‐ tiptronic / multitronic;98 ; 01;FAP4813;WO460;FCI1105A;AKX35636
Audi;A6;(Avant / Quattro / All Road) ‐ gasolina ‐ tiptronic / multitronic;01 ; 05;FAP4813;WO344;FCI1105A;AKX1110
Audi;A6;(Avant / Quattro a partir N° de Chassis 4AS026713) ‐ gasolina ‐ tiptronic;94 ; 97;FAP4816;WO350;FCI1104C;AKX35635
Audi;A6;(Avant / Quattro até N° de Chassis 4AS026713) ‐ gasolina ‐ tiptronic;94 ; 97;FAP4816;WO181;FCI1104C;AKX35635
