Nome_Montadora;Nome_Modelo;Classificacao_Modelo;Ano_Inicio;Ano_Fim;Palheta_Motorista;Palheta_Passageiro;Palheta_Traseira;Tipo_Gancho
Alfa Romeo;145;;1997;2001;DX21;340 G;;G
Alfa Romeo;146;;1997;1998;323;;;
Alfa Romeo;147;;2003;2005;314 G;;;G
Alfa Romeo;155;;1992;1997;DX20;178 G;;G
Alfa Romeo;156;;1997;2005;DX21;340 G;;G
Alfa Romeo;164;;1987;1998;DX20;178 G;;G
Alfa Romeo;166;;1998;2003;DX21;340 G;;G
Alfa Romeo;Spider;;1984;1993;DX16;;;G
Asia;Carnival;;1998;2003;324;;;
Asia;Carnival;;2022;;S526;S520;205 1;
Asia;Combi Am 815/825 micro ônibus;;1997;2001;DX18;055 DL3 056 G;;G
Asia;Galloper;;1998;1999;DX16;;;G
Asia;Topic;;1993;2000;DX16;053 D1;;G
Asia;Topic;;2008;;DX18;056 G;;G
Asia;Towner;;1993;1999;DX16;046 DL3;;G
Audi;100;;1990;1994;362 G;;;G
Audi;100 Avant;;1990;1994;055 DL3 362 G;;;G
Audi;80;;1991;1994;DX20;178 G;;G
Audi;80 Avant;;1991;1996;DX20;053 D1 178 G;;G
Audi;80 Cabriolet;;1991;1998;DX20;178 G;;G
Audi;A1;;2011;;S460;S435;;TL5
Audi;A3;;1996;2006;DX21;046 DL3 340 G;;G
Audi;A3;;2007;2012;S460;S445;;TL2
Audi;A3;;2013;;S465;S445;;TL5
Audi;A3;;2014;2020;S465;S445;;TL5
Audi;A4;;1995;2000;DX20;178 G;;G
Audi;A4;;1995;2001;DX20;178 G;;G
Audi;A4;;2008;;S460;S450;;TL5
Audi;A5 Coupè;;2007;2012;S460;S450;;TL5
Audi;A6;;1994;2001;362 G;;;G
Audi;A6;;2011;;S460;S450;;TL5
Audi;A7 Sportback;;2010;2017;S465;S453;;TL5
Audi;A8;;1994;2002;362 G;;;G
Audi;A8;;2010;2017;S465;S450;;TL5
Audi;Q3;;2013;;S460;S453;;TL5
Audi;Q5;;2008;2013;S460;S450;;TL5
Audi;Q7;;2012;2015;S465;S465;;TL2
Audi;Q7;;2015;;S470;S450;;TL5
Audi;Q8;;2020;;S460;S450;;TL5
Audi;R8;;2010;2017;S460;S453;;SL1
